3.0000000000e+005, -1
3.3000000000e+005, -1
2.6000000000e+000, 1.8416393992e-006
2.6000000000e+002, 1.8428104611e-006
2.6000000000e+004, 1.9401614169e-006
2.6000000000e+005, 7.6809879565e-006
2.9000000000e+005, 2.1083062595e-005
3.0500000000e+005, -1
2.9750000000e+005, -1
2.9375000000e+005, 2.6033625514e-005
2.9562500000e+005, -1
2.9468750000e+005, 2.7609726575e-005
2.9515625000e+005, -1
2.9492187500e+005, 3.2816340494e-005
2.9503906250e+005, 3.1640006549e-005
2.9509765625e+005, -1
2.9506835938e+005, 3.2664050655e-005
2.9508300781e+005, -1
2.9507568359e+005, 2.7051614488e-005
2.9507934570e+005, -1
2.9507751465e+005, -1
2.9507659912e+005, 2.7051778425e-005
2.9507705689e+005, 2.7051858567e-005
2.9507728577e+005, -1
